longitude,latitude,fishing activity 2019_unreported_fishing,species richness 2019,stocks richness 2019,clusterid,risk
16.72,41.53,189.49999999999991,374.0,60.0,1.0,Very High
17.22,41.53,30.16666666666669,295.0,53.0,2.0,High
17.72,41.53,16.833333333333368,200.0,37.0,3.0,Moderate
18.22,41.53,18.25,217.0,44.0,2.0,High
18.72,41.53,108.99999999999984,382.0,58.0,1.0,Very High
19.22,41.53,111.83333333333331,444.0,63.0,1.0,Very High
1.22,41.03,552.9166666666666,502.0,57.0,0.0,Very High
1.72,41.03,2604.8333333333294,630.0,65.0,0.0,Very High
2.22,41.03,1467.5833333333317,653.0,64.0,0.0,Very High
2.72,41.03,369.5833333333331,472.0,59.0,1.0,Very High
3.22,41.03,48.250000000000014,350.0,53.0,1.0,Very High
3.72,41.03,0.0,177.0,27.0,4.0,Moderate
4.22,41.03,0.0,115.0,15.0,5.0,Very Low
4.72,41.03,0.0,118.0,14.0,5.0,Very Low
5.22,41.03,0.0,134.0,19.0,4.0,Moderate
5.72,41.03,0.0,144.0,22.0,4.0,Moderate
6.22,41.03,0.0,125.0,17.0,4.0,Moderate
6.72,41.03,0.0,115.0,16.0,5.0,Very Low
7.22,41.03,0.0,114.0,15.0,5.0,Very Low
7.72,41.03,33.41666666666667,137.0,20.0,4.0,Moderate
8.22,41.03,114.75000000000004,388.0,56.0,1.0,Very High
8.72,41.03,462.9999999999999,573.0,59.0,0.0,Very High
9.72,41.03,239.08333333333354,566.0,64.0,0.0,Very High
10.22,41.03,4.000000000000002,335.0,56.0,1.0,Very High
10.72,41.03,1.3333333333333335,295.0,47.0,2.0,High
11.22,41.03,0.0,266.0,41.0,2.0,High
11.72,41.03,0.5833333333333335,232.0,36.0,3.0,Moderate
12.22,41.03,784.5000000000003,388.0,57.0,1.0,Very High
12.72,41.03,1217.3333333333342,612.0,65.0,0.0,Very High
13.22,41.03,567.0833333333336,539.0,64.0,0.0,Very High
